time	group	action
1386309373262	k2	loadvideo
1386311031306	k2	loadvideo
1386311186512	k2	loadvideo
1386311205766	k2	loadvideo
1386311445854	k2	loadvideo
1386311449426	k2	loadvideo
1386314827601	k2	loadvideo
1386314844591	k2	seek_start
1386314844910	k2	seek_end
1386314848838	k2	seek_start
1386314849099	k2	seek_end
1386314880111	k2	loadvideo
1386314918701	k2	seek_start
1386314919034	k2	seek_end
1386314943582	k2	videopaused
1386315082238	k2	loadvideo
1386315112393	k2	loadvideo
1386315118990	k2	loadvideo
1386315157054	k2	loadvideo
1386315176031	k2	seek_start
1386315176187	k2	seek_end
1386315188573	k2	loadvideo
1386315209742	k2	videopaused
1386315233611	k2	videoplayed
1386315238184	k2	seek_start
1386315238246	k2	seek_end
1386315245204	k2	loadvideo
1386315318121	k2	seek_start
1386315318230	k2	seek_end
1386315324065	k2	loadvideo
1386315329930	k2	loadvideo
1386315331475	k2	loadvideo
1386315333003	k2	loadvideo
1386315334969	k2	loadvideo
1386315338807	k2	loadvideo
1386315341365	k2	loadvideo
1386315347621	k2	loadvideo
1386315353206	k2	videoplayed
1386315364291	k2	videopaused
1386315748629	k2	videopaused
1386316014125	k2	loadvideo
1386316076126	k2	videoplayed
1386316089589	k2	loadvideo
1386316092131	k2	seek_start
1386316092241	k2	seek_end
1386316108839	k2	loadvideo
1386316579356	k2	loadvideo
1386316603374	k2	seek_start
1386316603562	k2	seek_end
1386316607378	k2	seek_start
1386316607556	k2	seek_end
1386316608711	k2	seek_start
1386316608904	k2	seek_end
1386316618396	k2	videoended
1386316618400	k2	videoended
1386316644236	k2	loadvideo
1386316664038	k2	loadvideo
1386316683947	k2	videopaused
1386317077713	k1	loadvideo
1386317099311	k1	videopaused
1386317204307	k1	loadvideo
1386317209629	k1	seek_start
1386317209707	k1	seek_end
1386317404363	k1	loadvideo
1386317543596	k1	seek_start
1386317543786	k1	seek_end
1386317545986	k1	seek_start
1386317547178	k1	seek_end
1386317561252	k1	loadvideo
1386317565175	k1	loadvideo
1386317588610	k1	videoplayed
1386317625601	k1	videopaused
1386317983482	k1	loadvideo
1386317988795	k1	loadvideo
1386317992028	k1	loadvideo
1386318177104	k1	seek_start
1386318178130	k1	seek_end
1386318194178	k1	videopaused
1386318206072	k1	loadvideo
1386318208139	k1	seek_start
1386318208226	k1	seek_end
1386318221260	k1	seek_start
1386318221363	k1	seek_end
1386318224868	k1	seek_start
1386318224954	k1	seek_end
1386318239051	k1	loadvideo
1386318243484	k1	seek_start
1386318243594	k1	seek_end
1386318253231	k1	loadvideo
1386318376490	k2	loadvideo
1386319541566	k2	loadvideo
1386319574157	k2	videopaused
1386320580940	k1	loadvideo
1386320631890	k1	seek_start
1386320632015	k1	seek_end
1386320639591	k1	loadvideo
1386321405010	k2	loadvideo
1386321634950	k2	loadvideo
1386321778658	k2	videopaused
1386321785292	k2	loadvideo
1386321788562	k2	seek_start
1386321788737	k2	seek_end
1386321793085	k2	seek_start
1386321793261	k2	seek_end
1386321796016	k2	seek_start
1386321796233	k2	seek_end
1386321798648	k2	seek_start
1386321798820	k2	seek_end
1386321830130	k2	loadvideo
1386321889078	k2	saveannotation toc
1386321889083	k2	videoplayed
1386321896216	k2	seek_start
1386321896393	k2	seek_end
1386321899741	k2	seek_start
1386321900004	k2	seek_end
1386321961657	k2	seek_start
1386321962312	k2	seek_end
1386322002729	k2	saveannotation tags
1386322002735	k2	videoplayed
1386322034600	k2	saveannotation tags
1386322034606	k2	videoplayed
1386322042233	k2	videopaused
1386322043886	k2	clicktagfromlist
1386322046511	k2	videopaused
1386322053454	k2	saveannotation tags
1386322053460	k2	videoplayed
1386322106442	k2	videopaused
1386322266212	k2	saveannotation assessment
1386322266218	k2	videoplayed
1386322266815	k2	assessmentdisplaybegin
1386322278579	k2	submitassessmenttask
1386322278589	k2	assessmentcorrect
1386322282225	k2	finish_assessment
1386322282230	k2	videoplayed
1386322304603	k2	seek_start
1386322304979	k2	seek_end
1386322324660	k2	seek_start
1386322326462	k2	seek_end
1386322327374	k2	seek_start
1386322328560	k2	seek_end
1386322329799	k2	seek_start
1386322330040	k2	seek_end
1386322331536	k2	seek_start
1386322331944	k2	seek_end
1386322334958	k2	seek_start
1386322336365	k2	seek_end
1386322354784	k2	assessmentdisplaybegin
1386322383016	k2	seek_start
