time	group	action
1386309373262	layout_decisions2	loadvideo
1386311031306	layout_decisions2	loadvideo
1386311186512	capacity_planing	loadvideo
1386311205766	layout_decisions1	loadvideo
1386311445854	capacity_planing	loadvideo
1386311449426	traveling_salesman_problem	loadvideo
1386314827601	layout_decisions2	loadvideo
1386314844591	layout_decisions2	seek_start
1386314844910	layout_decisions2	seek_end
1386314848838	layout_decisions2	seek_start
1386314849099	layout_decisions2	seek_end
1386314880111	facility_location	loadvideo
1386314918701	facility_location	seek_start
1386314919034	facility_location	seek_end
1386314943582	facility_location	videopaused
1386315082238	layout_decisions2	loadvideo
1386315112393	layout_decisions2	loadvideo
1386315118990	location_decision	loadvideo
1386315157054	traveling_salesman_problem	loadvideo
1386315176031	traveling_salesman_problem	seek_start
1386315176187	traveling_salesman_problem	seek_end
1386315188573	product_layouts	loadvideo
1386315209742	product_layouts	videopaused
1386315233611	product_layouts	videoplayed
1386315238184	product_layouts	seek_start
1386315238246	product_layouts	seek_end
1386315245204	facility_location	loadvideo
1386315318121	facility_location	seek_start
1386315318230	facility_location	seek_end
1386315324065	layout_decisions2	loadvideo
1386315329930	capacity_planing	loadvideo
1386315331475	layout_decisions1	loadvideo
1386315333003	location_decision	loadvideo
1386315334969	warehousemanagement	loadvideo
1386315338807	location_decision	loadvideo
1386315341365	warehousemanagement	loadvideo
1386315347621	dist_layout	loadvideo
1386315353206	dist_layout	videoplayed
1386315364291	dist_layout	videopaused
1386315748629	dist_layout	videopaused
1386316014125	layout_decisions2	loadvideo
1386316076126	dist_layout	videoplayed
1386316089589	chinese_postman_problem	loadvideo
1386316092131	chinese_postman_problem	seek_start
1386316092241	chinese_postman_problem	seek_end
1386316108839	dist_layout	loadvideo
1386316579356	layout_decisions2	loadvideo
1386316603374	layout_decisions2	seek_start
1386316603562	layout_decisions2	seek_end
1386316607378	layout_decisions2	seek_start
1386316607556	layout_decisions2	seek_end
1386316608711	layout_decisions2	seek_start
1386316608904	layout_decisions2	seek_end
1386316618396	layout_decisions2	videoended
1386316618400	layout_decisions2	videoended
1386316644236	capacity_planing	loadvideo
1386316664038	layout_decisions2	loadvideo
1386316683947	layout_decisions2	videopaused
1386317077713	layout_decisions2	loadvideo
1386317099311	layout_decisions2	videopaused
1386317204307	layout_decisions2	loadvideo
1386317209629	layout_decisions2	seek_start
1386317209707	layout_decisions2	seek_end
1386317404363	layout_decisions2	loadvideo
1386317543596	layout_decisions2	seek_start
1386317543786	layout_decisions2	seek_end
1386317545986	layout_decisions2	seek_start
1386317547178	layout_decisions2	seek_end
1386317561252	layout_decisions1	loadvideo
1386317565175	chinese_postman_problem	loadvideo
1386317588610	chinese_postman_problem	videoplayed
1386317625601	chinese_postman_problem	videopaused
1386317983482	layout_decisions2	loadvideo
1386317988795	location_decision	loadvideo
1386317992028	chinese_postman_problem	loadvideo
1386318177104	chinese_postman_problem	seek_start
1386318178130	chinese_postman_problem	seek_end
1386318194178	chinese_postman_problem	videopaused
1386318206072	layout_decisions1	loadvideo
1386318208139	layout_decisions1	seek_start
1386318208226	layout_decisions1	seek_end
1386318221260	layout_decisions1	seek_start
1386318221363	layout_decisions1	seek_end
1386318224868	layout_decisions1	seek_start
1386318224954	layout_decisions1	seek_end
1386318239051	layout_decisions2	loadvideo
1386318243484	layout_decisions2	seek_start
