time	group	action
1386309373262	302	loadvideo
1386311031306	302	loadvideo
1386311186512	301	loadvideo
1386311205766	303	loadvideo
1386311445854	301	loadvideo
1386311449426	312	loadvideo
1386314827601	302	loadvideo
1386314844591	302	seek
1386314844910	302	seek
1386314848838	302	seek
1386314849099	302	seek
1386314880111	311	loadvideo
1386314918701	311	seek
1386314919034	311	seek
1386314943582	311	videopaused
1386315082238	302	loadvideo
1386315112393	302	loadvideo
1386315118990	304	loadvideo
1386315157054	312	loadvideo
1386315176031	312	seek
1386315176187	312	seek
1386315188573	310	loadvideo
1386315209742	310	videopaused
1386315233611	310	videoplayed
1386315238184	310	seek
1386315238246	310	seek
1386315245204	311	loadvideo
1386315318121	311	seek
1386315318230	311	seek
1386315324065	302	loadvideo
1386315329930	301	loadvideo
1386315331475	303	loadvideo
1386315333003	304	loadvideo
1386315334969	305	loadvideo
1386315338807	304	loadvideo
1386315341365	305	loadvideo
1386315347621	306	loadvideo
1386315353206	306	videoplayed
1386315364291	306	videopaused
1386315748629	306	videopaused
1386316014125	302	loadvideo
1386316076126	306	videoplayed
1386316089589	307	loadvideo
1386316092131	307	seek
1386316092241	307	seek
1386316108839	306	loadvideo
1386316579356	302	loadvideo
1386316603374	302	seek
1386316603562	302	seek
1386316607378	302	seek
1386316607556	302	seek
1386316608711	302	seek
1386316608904	302	seek
1386316618396	302	videoended
1386316618400	302	videoended
1386316644236	301	loadvideo
1386316664038	302	loadvideo
1386316683947	302	videopaused
1386317077713	202	loadvideo
1386317099311	202	videopaused
1386317204307	202	loadvideo
1386317209629	202	seek
1386317209707	202	seek
1386317404363	202	loadvideo
1386317543596	202	seek
1386317543786	202	seek
1386317545986	202	seek
1386317547178	202	seek
1386317561252	203	loadvideo
1386317565175	207	loadvideo
1386317588610	207	videoplayed
1386317625601	207	videopaused
1386317983482	202	loadvideo
1386317988795	204	loadvideo
1386317992028	207	loadvideo
1386318177104	207	seek
1386318178130	207	seek
1386318194178	207	videopaused
1386318206072	203	loadvideo
1386318208139	203	seek
1386318208226	203	seek
1386318221260	203	seek
1386318221363	203	seek
1386318224868	203	seek
1386318224954	203	seek
1386318239051	202	loadvideo
1386318243484	202	seek
1386318243594	202	seek
