group,participation,annotations,equal,role,foreign,rhythm,foreigncontributions
max,977.5,33,488.95,425.88,362.5,7,17
mean,146.64,6.00,109.46,81.44,48.87,1.44,2.16
varCoeff,1.76,1.61,1.51,1.43,1.91,1.33,2.02
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
17,178.00,16.00,0.00,107.28,0,4,0
19,977.50,22.50,426.50,425.88,362.50,7,6.00
21,599.00,19.33,488.95,213.82,77.33,4,0
23,245.00,4.67,261.50,248.75,212.67,3,4.67
25,395.33,33.00,287.00,124.05,116.33,3,17.00
27,9.50,1.00,0.00,0,9.50,1,1.00
29,47.67,8.67,0.00,65.29,47.67,1,8.67
28,1.00,0.00,0.00,0,1.00,1,0
k1,75.39,2.00,204.22,104.99,24.11,1,1.17
k2,111.11,0.83,302.14,175.91,28.61,1,0.33
