group	participation	annotations	equal	role	foreign	rhythm	foreigncontributions
max	977.5	33	488.95	425.88	362.5	7	17
mean	163.19	7.00	106.58	82.23	72.86	2.11	3.23
1	59.50	0.00	0.00	58.50	59.50	2	0
2	0.33	0.00	0.00	0	0.33	0	0
3	2.00	0.00	0.00	0	2.00	1	0
5	6.00	0.00	0.00	0	6.00	1	0
7	276.50	16.00	271.50	163.93	276.50	4	16.00
9	11.50	0.50	0.00	0.50	11.50	2	0.50
11	9.00	1.00	7.50	4.02	9.00	1	1.00
13	119.67	3.33	175.50	68.18	119.67	3	3.33
17	178.00	16.00	0.00	107.28	0	4	0
19	977.50	22.50	426.50	425.88	362.50	7	6.00
21	599.00	19.33	488.95	213.82	77.33	4	0
23	245.00	4.67	261.50	248.75	212.67	3	4.67
25	395.33	33.00	287.00	124.05	116.33	3	17.00
27	9.50	1.00	0.00	0	9.50	1	1.00
29	47.67	8.67	0.00	65.29	47.67	1	8.67
28	1.00	0.00	0.00	0	1.00	1	0
k1	0	0	0	0	0	0	0
k2	0	0	0	0	0	0	0
