forward	backward	user
0	0	bisping
0	0	bisping
0	0	bisping
8	0	bisping
8	1870	bisping
8	1870	bisping
8	1870	bisping
8	1870	bisping
8	1870	bisping
22	1870	bisping
22	1870	bisping
22	1870	bisping
0	0	holzmann
0	0	holzmann
0	0	holzmann
0	0	holzmann
37	0	holzmann
49	0	holzmann
70	0	holzmann
74	0	holzmann
74	7	holzmann
74	7	holzmann
115	7	holzmann
130	7	holzmann
174	7	holzmann
176	7	holzmann
211	7	holzmann
213	7	holzmann
287	7	holzmann
290	7	holzmann
330	7	holzmann
332	7	holzmann
366	7	holzmann
367	7	holzmann
407	7	holzmann
409	7	holzmann
478	7	holzmann
479	7	holzmann
547	7	holzmann
549	7	holzmann
680	7	holzmann
682	7	holzmann
837	7	holzmann
839	7	holzmann
968	7	holzmann
972	7	holzmann
1053	7	holzmann
1209	7	holzmann
1376	7	holzmann
1379	7	holzmann
1379	7	holzmann
1381	7	holzmann
1544	7	holzmann
1548	7	holzmann
1695	7	holzmann
1697	7	holzmann
1806	7	holzmann
1808	7	holzmann
1879	7	holzmann
1881	7	holzmann
1947	7	holzmann
1950	7	holzmann
2030	7	holzmann
2031	7	holzmann
2098	7	holzmann
2100	7	holzmann
2195	7	holzmann
2198	7	holzmann
2268	7	holzmann
2272	7	holzmann
2346	7	holzmann
2349	7	holzmann
2443	7	holzmann
2448	7	holzmann
2545	7	holzmann
2547	7	holzmann
2608	7	holzmann
2609	7	holzmann
2672	7	holzmann
2675	7	holzmann
2769	7	holzmann
2771	7	holzmann
2847	7	holzmann
2849	7	holzmann
2924	7	holzmann
2926	7	holzmann
3012	7	holzmann
3014	7	holzmann
3099	7	holzmann
3101	7	holzmann
3172	7	holzmann
3174	7	holzmann
3226	7	holzmann
3227	7	holzmann
3265	7	holzmann
3266	7	holzmann
3268	7	holzmann
3268	7	holzmann
3268	7	holzmann
3268	7	holzmann
3330	7	holzmann
3332	7	holzmann
3406	7	holzmann
3410	7	holzmann
3487	7	holzmann
3489	7	holzmann
3587	7	holzmann
3593	7	holzmann
3644	7	holzmann
3646	7	holzmann
3734	7	holzmann
3736	7	holzmann
3848	7	holzmann
3852	7	holzmann
3915	7	holzmann
3917	7	holzmann
4043	7	holzmann
4052	7	holzmann
4139	7	holzmann
4141	7	holzmann
4267	7	holzmann
4269	7	holzmann
4381	7	holzmann
4383	7	holzmann
4453	7	holzmann
4456	7	holzmann
4510	7	holzmann
4511	7	holzmann
4713	7	holzmann
4716	7	holzmann
4716	7	holzmann
0	0	schenk
0	0	schenk
0	0	schenk
0	17	schenk
0	17	schenk
0	17	schenk
0	17	schenk
0	17	schenk
0	17	schenk
0	33	schenk
0	33	schenk
0	33	schenk
0	33	schenk
111	33	schenk
111	33	schenk
111	33	schenk
111	33	schenk
111	33	schenk
111	33	schenk
111	128	schenk
111	128	schenk
111	128	schenk
111	128	schenk
0	0	hoffmann
0	0	hoffmann
0	0	hoffmann
0	0	hoffmann
18	0	hoffmann
20	0	hoffmann
41	0	hoffmann
42	0	hoffmann
77	0	hoffmann
153	0	hoffmann
166	0	hoffmann
167	0	hoffmann
189	0	hoffmann
190	0	hoffmann
205	0	hoffmann
207	0	hoffmann
234	0	hoffmann
235	0	hoffmann
297	0	hoffmann
298	0	hoffmann
377	0	hoffmann
390	0	hoffmann
449	0	hoffmann
480	0	hoffmann
521	0	hoffmann
524	0	hoffmann
580	0	hoffmann
584	0	hoffmann
698	0	hoffmann
716	0	hoffmann
749	0	hoffmann
750	0	hoffmann
777	0	hoffmann
969	0	hoffmann
1014	0	hoffmann
1015	0	hoffmann
1081	0	hoffmann
1084	0	hoffmann
1124	0	hoffmann
1125	0	hoffmann
1195	0	hoffmann
1201	0	hoffmann
1242	0	hoffmann
1243	0	hoffmann
1280	0	hoffmann
1280	0	hoffmann
1335	0	hoffmann
1336	0	hoffmann
1385	0	hoffmann
1386	0	hoffmann
1419	0	hoffmann
1455	0	hoffmann
1486	0	hoffmann
1501	0	hoffmann
1520	0	hoffmann
1521	0	hoffmann
1541	0	hoffmann
1542	0	hoffmann
1591	0	hoffmann
1592	0	hoffmann
1651	0	hoffmann
1654	0	hoffmann
1689	0	hoffmann
1690	0	hoffmann
1769	0	hoffmann
1774	0	hoffmann
1794	0	hoffmann
1795	0	hoffmann
1819	0	hoffmann
1820	0	hoffmann
1877	0	hoffmann
1879	0	hoffmann
1942	0	hoffmann
1943	0	hoffmann
2001	0	hoffmann
2003	0	hoffmann
2009	0	hoffmann
2010	0	hoffmann
2060	0	hoffmann
2061	0	hoffmann
2123	0	hoffmann
2124	0	hoffmann
2165	0	hoffmann
2171	0	hoffmann
2190	0	hoffmann
2191	0	hoffmann
2237	0	hoffmann
2241	0	hoffmann
2291	0	hoffmann
2292	0	hoffmann
2313	0	hoffmann
2314	0	hoffmann
2359	0	hoffmann
2360	0	hoffmann
2392	0	hoffmann
2395	0	hoffmann
2418	0	hoffmann
2419	0	hoffmann
2469	0	hoffmann
2470	0	hoffmann
2549	0	hoffmann
2551	0	hoffmann
2551	61	hoffmann
2567	61	hoffmann
2580	61	hoffmann
2581	61	hoffmann
2618	61	hoffmann
2619	61	hoffmann
2652	61	hoffmann
2653	61	hoffmann
2686	61	hoffmann
2687	61	hoffmann
2732	61	hoffmann
2733	61	hoffmann
2791	61	hoffmann
2798	61	hoffmann
2808	61	hoffmann
2809	61	hoffmann
2846	61	hoffmann
2962	61	hoffmann
2985	61	hoffmann
2987	61	hoffmann
3006	61	hoffmann
3006	61	hoffmann
3006	61	hoffmann
3006	61	hoffmann
3006	61	hoffmann
3015	61	hoffmann
3017	61	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3162	80	hoffmann
3162	80	hoffmann
3162	80	hoffmann
3162	80	hoffmann
3162	80	hoffmann
3162	80	hoffmann
3183	80	hoffmann
3186	80	hoffmann
3213	80	hoffmann
3214	80	hoffmann
3264	80	hoffmann
3267	80	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
