Source,Target,Type,Id,Label,Weight
3,4,Undirected,1,,8.0
4,3,Undirected,1,,21.0
6,7,Undirected,1,,4.0
7,3,Undirected,1,,1.0
3,1,Undirected,1,,5.0
1,3,Undirected,1,,10.0
3,8,Undirected,1,,2.0
8,4,Undirected,1,,3.0
1,6,Undirected,1,,10.0
9,10,Undirected,1,,9.0
2,17,Undirected,1,,3.0
17,18,Undirected,1,,1.0
18,17,Undirected,1,,2.0
17,13,Undirected,1,,2.0
13,5,Undirected,1,,6.0
5,2,Undirected,1,,2.0
2,19,Undirected,1,,2.0
19,17,Undirected,1,,4.0
17,20,Undirected,1,,2.0
20,18,Undirected,1,,2.0
18,1,Undirected,1,,2.0
1,18,Undirected,1,,3.0
18,2,Undirected,1,,2.0
2,4,Undirected,1,,12.0
3,21,Undirected,1,,5.0
21,22,Undirected,1,,5.0
22,16,Undirected,1,,1.0
16,20,Undirected,1,,1.0
20,2,Undirected,1,,1.0
2,23,Undirected,1,,4.0
23,24,Undirected,1,,5.0
24,8,Undirected,1,,2.0
8,25,Undirected,1,,2.0
25,20,Undirected,1,,2.0
20,16,Undirected,1,,1.0
16,26,Undirected,1,,3.0
26,27,Undirected,1,,11.0
27,1,Undirected,1,,3.0
1,2,Undirected,1,,38.0
2,9,Undirected,1,,1.0
10,28,Undirected,1,,4.0
28,11,Undirected,1,,3.0
11,26,Undirected,1,,2.0
27,29,Undirected,1,,6.0
29,30,Undirected,1,,7.0
30,31,Undirected,1,,4.0
31,15,Undirected,1,,5.0
15,32,Undirected,1,,4.0
32,33,Undirected,1,,2.0
33,34,Undirected,1,,2.0
34,12,Undirected,1,,1.0
12,35,Undirected,1,,4.0
35,36,Undirected,1,,5.0
36,6,Undirected,1,,1.0
6,37,Undirected,1,,5.0
37,38,Undirected,1,,5.0
38,7,Undirected,1,,6.0
7,39,Undirected,1,,4.0
39,40,Undirected,1,,7.0
40,41,Undirected,1,,3.0
41,22,Undirected,1,,1.0
22,14,Undirected,1,,5.0
14,25,Undirected,1,,2.0
25,42,Undirected,1,,4.0
42,43,Undirected,1,,2.0
43,1,Undirected,1,,5.0
14,23,Undirected,1,,2.0
24,9,Undirected,1,,2.0
10,8,Undirected,1,,1.0
43,28,Undirected,1,,2.0
27,9,Undirected,1,,1.0
9,29,Undirected,1,,2.0
36,13,Undirected,1,,3.0
5,17,Undirected,1,,2.0
17,19,Undirected,1,,9.0
19,20,Undirected,1,,3.0
18,16,Undirected,1,,5.0
16,39,Undirected,1,,2.0
39,6,Undirected,1,,1.0
41,9,Undirected,1,,1.0
9,11,Undirected,1,,3.0
4,43,Undirected,1,,5.0
1,24,Undirected,1,,9.0
24,1,Undirected,1,,2.0
1,4,Undirected,1,,20.0
4,9,Undirected,1,,6.0
9,1,Undirected,1,,9.0
1,9,Undirected,1,,12.0
14,21,Undirected,1,,2.0
22,24,Undirected,1,,2.0
34,31,Undirected,1,,3.0
31,24,Undirected,1,,1.0
2,1,Undirected,1,,31.0
1,17,Undirected,1,,2.0
17,7,Undirected,1,,1.0
5,4,Undirected,1,,3.0
4,1,Undirected,1,,16.0
4,2,Undirected,1,,3.0
4,24,Undirected,1,,6.0
24,4,Undirected,1,,7.0
23,42,Undirected,1,,3.0
42,5,Undirected,1,,2.0
9,22,Undirected,1,,1.0
22,4,Undirected,1,,1.0
9,16,Undirected,1,,1.0
16,34,Undirected,1,,3.0
34,24,Undirected,1,,3.0
1,36,Undirected,1,,2.0
34,2,Undirected,1,,2.0
26,30,Undirected,1,,3.0
30,1,Undirected,1,,1.0
13,1,Undirected,1,,9.0
4,13,Undirected,1,,1.0
13,9,Undirected,1,,1.0
9,13,Undirected,1,,1.0
1,23,Undirected,1,,2.0
23,1,Undirected,1,,4.0
1,5,Undirected,1,,5.0
5,16,Undirected,1,,4.0
16,23,Undirected,1,,2.0
23,25,Undirected,1,,2.0
15,24,Undirected,1,,1.0
24,16,Undirected,1,,4.0
16,11,Undirected,1,,1.0
11,13,Undirected,1,,1.0
20,11,Undirected,1,,1.0
4,8,Undirected,1,,2.0
8,1,Undirected,1,,1.0
1,37,Undirected,1,,7.0
37,1,Undirected,1,,6.0
9,19,Undirected,1,,1.0
26,17,Undirected,1,,1.0
1,41,Undirected,1,,1.0
41,34,Undirected,1,,1.0
16,9,Undirected,1,,1.0
34,9,Undirected,1,,1.0
9,34,Undirected,1,,2.0
34,3,Undirected,1,,1.0
1,16,Undirected,1,,4.0
16,24,Undirected,1,,1.0
9,37,Undirected,1,,5.0
2,13,Undirected,1,,2.0
12,36,Undirected,1,,3.0
36,4,Undirected,1,,1.0
1,34,Undirected,1,,7.0
34,1,Undirected,1,,5.0
15,2,Undirected,1,,1.0
34,13,Undirected,1,,1.0
13,16,Undirected,1,,2.0
1,15,Undirected,1,,2.0
26,24,Undirected,1,,2.0
24,31,Undirected,1,,1.0
6,1,Undirected,1,,9.0
2,37,Undirected,1,,2.0
1,27,Undirected,1,,1.0
27,34,Undirected,1,,2.0
37,26,Undirected,1,,2.0
24,37,Undirected,1,,3.0
37,15,Undirected,1,,1.0
37,24,Undirected,1,,4.0
30,26,Undirected,1,,2.0
26,1,Undirected,1,,9.0
1,26,Undirected,1,,10.0
26,2,Undirected,1,,1.0
2,24,Undirected,1,,2.0
24,34,Undirected,1,,2.0
31,1,Undirected,1,,2.0
1,32,Undirected,1,,1.0
32,6,Undirected,1,,2.0
37,27,Undirected,1,,1.0
11,28,Undirected,1,,1.0
28,35,Undirected,1,,1.0
35,12,Undirected,1,,1.0
12,15,Undirected,1,,1.0
1,38,Undirected,1,,1.0
7,1,Undirected,1,,3.0
30,34,Undirected,1,,3.0
34,37,Undirected,1,,1.0
24,15,Undirected,1,,1.0
4,11,Undirected,1,,2.0
11,4,Undirected,1,,2.0
16,1,Undirected,1,,4.0
1,8,Undirected,1,,2.0
8,9,Undirected,1,,2.0
40,1,Undirected,1,,1.0
1,28,Undirected,1,,3.0
36,28,Undirected,1,,1.0
11,34,Undirected,1,,1.0
34,15,Undirected,1,,2.0
4,16,Undirected,1,,1.0
4,21,Undirected,1,,3.0
21,3,Undirected,1,,1.0
3,19,Undirected,1,,1.0
3,38,Undirected,1,,1.0
13,19,Undirected,1,,4.0
1,7,Undirected,1,,4.0
7,38,Undirected,1,,2.0
38,39,Undirected,1,,2.0
39,41,Undirected,1,,1.0
39,1,Undirected,1,,3.0
1,40,Undirected,1,,2.0
43,42,Undirected,1,,2.0
42,14,Undirected,1,,2.0
37,6,Undirected,1,,3.0
6,12,Undirected,1,,1.0
21,4,Undirected,1,,2.0
19,5,Undirected,1,,6.0
5,19,Undirected,1,,3.0
20,19,Undirected,1,,1.0
19,4,Undirected,1,,2.0
4,19,Undirected,1,,3.0
19,16,Undirected,1,,3.0
16,19,Undirected,1,,2.0
19,23,Undirected,1,,1.0
37,14,Undirected,1,,1.0
14,43,Undirected,1,,1.0
43,23,Undirected,1,,1.0
24,23,Undirected,1,,2.0
19,1,Undirected,1,,3.0
1,19,Undirected,1,,2.0
24,22,Undirected,1,,2.0
2,5,Undirected,1,,3.0
21,2,Undirected,1,,2.0
2,21,Undirected,1,,1.0
4,34,Undirected,1,,2.0
36,7,Undirected,1,,1.0
13,18,Undirected,1,,2.0
26,3,Undirected,1,,1.0
3,22,Undirected,1,,3.0
6,23,Undirected,1,,1.0
23,9,Undirected,1,,2.0
9,4,Undirected,1,,2.0
4,22,Undirected,1,,2.0
32,15,Undirected,1,,2.0
33,1,Undirected,1,,1.0
1,33,Undirected,1,,2.0
2,34,Undirected,1,,3.0
10,9,Undirected,1,,4.0
10,1,Undirected,1,,1.0
15,1,Undirected,1,,2.0
42,22,Undirected,1,,1.0
21,14,Undirected,1,,1.0
25,24,Undirected,1,,1.0
24,11,Undirected,1,,1.0
11,10,Undirected,1,,1.0
36,19,Undirected,1,,2.0
19,6,Undirected,1,,3.0
16,18,Undirected,1,,2.0
20,39,Undirected,1,,1.0
19,39,Undirected,1,,1.0
39,38,Undirected,1,,1.0
38,18,Undirected,1,,1.0
37,7,Undirected,1,,1.0
7,19,Undirected,1,,1.0
19,7,Undirected,1,,1.0
7,40,Undirected,1,,1.0
40,39,Undirected,1,,4.0
37,18,Undirected,1,,1.0
18,38,Undirected,1,,1.0
3,9,Undirected,1,,2.0
9,26,Undirected,1,,3.0
26,12,Undirected,1,,5.0
12,5,Undirected,1,,3.0
24,25,Undirected,1,,1.0
25,43,Undirected,1,,2.0
43,9,Undirected,1,,3.0
9,43,Undirected,1,,1.0
43,12,Undirected,1,,2.0
12,30,Undirected,1,,1.0
30,15,Undirected,1,,1.0
26,7,Undirected,1,,2.0
5,18,Undirected,1,,1.0
18,28,Undirected,1,,1.0
28,13,Undirected,1,,1.0
13,38,Undirected,1,,1.0
21,8,Undirected,1,,2.0
14,24,Undirected,1,,1.0
24,13,Undirected,1,,1.0
4,25,Undirected,1,,2.0
25,8,Undirected,1,,1.0
19,13,Undirected,1,,3.0
31,26,Undirected,1,,1.0
26,31,Undirected,1,,3.0
1,25,Undirected,1,,1.0
23,2,Undirected,1,,1.0
17,4,Undirected,1,,1.0
4,23,Undirected,1,,5.0
23,8,Undirected,1,,1.0
9,36,Undirected,1,,2.0
36,1,Undirected,1,,2.0
1,11,Undirected,1,,3.0
22,9,Undirected,1,,1.0
9,5,Undirected,1,,2.0
5,13,Undirected,1,,7.0
13,10,Undirected,1,,1.0
4,37,Undirected,1,,3.0
13,4,Undirected,1,,1.0
1,13,Undirected,1,,6.0
21,42,Undirected,1,,1.0
42,21,Undirected,1,,2.0
37,2,Undirected,1,,1.0
10,30,Undirected,1,,1.0
24,32,Undirected,1,,1.0
4,5,Undirected,1,,1.0
37,4,Undirected,1,,1.0
3,43,Undirected,1,,2.0
