Id,Label,Category,CategoryName
1,borchardt2,0,-- General Introduction --
2,userguide,6,-- Introduction --
3,balke1,7,Water and the physical environment
4,lennartz,7,Water and the physical environment
5,liehr,9,Tools
6,magiera,5,IWRM implementation and case studies
7,scheumann,5,IWRM implementation and case studies
8,berendonk,7,Water and the physical environment
9,krebs,8,Technical measures
10,mueller,8,Technical measures
11,petersen2,8,Technical measures
12,lehmann,3,Economic instruments
13,mund,9,Tools
14,jabir,7,Water and the physical environment
15,moss,1,Water governance
16,schanze,9,Tools
17,ayenew2,9,Tools
18,bogardi,9,Tools
19,saliha2,9,Tools
20,abebe,9,Tools
21,balke2,7,Water and the physical environment
22,ayenew1,7,Water and the physical environment
23,cullmann,7,Water and the physical environment
24,bernhofer,7,Water and the physical environment
25,saliha1,7,Water and the physical environment
26,huppert1,1,Water governance
27,huppert2,1,Water governance
28,ostrowski,8,Technical measures
29,huppert3,1,Water governance
30,huppert4,1,Water governance
31,albrecht,1,Water governance
32,newig,1,Water governance
33,graefe,1,Water governance
34,niemann,1,Water governance
35,dombrowsky,3,Economic instruments
36,tsegai,3,Economic instruments
37,borchardt1,5,IWRM implementation and case studies
38,demydenko,5,IWRM implementation and case studies
39,seidel1,5,IWRM implementation and case studies
40,seidel2,5,IWRM implementation and case studies
41,bhaduri,5,IWRM implementation and case studies
42,awulachew,7,Water and the physical environment
43,petersen1,7,Water and the physical environment
