row_idx	col_idx	from	to	from_cat	to_cat	degree
3	4	balke1	lennartz	7	7	8
4	3	lennartz	balke1	7	7	21
6	7	magiera	scheumann	5	5	4
7	3	scheumann	balke1	5	7	1
3	1	balke1	borchardt2	7	0	5
1	3	borchardt2	balke1	0	7	10
3	8	balke1	berendonk	7	7	2
8	4	berendonk	lennartz	7	7	3
1	6	borchardt2	magiera	0	5	10
9	10	krebs	mueller	8	8	9
2	17	userguide	ayenew2	6	9	3
17	18	ayenew2	bogardi	9	9	1
18	17	bogardi	ayenew2	9	9	2
17	13	ayenew2	mund	9	9	2
13	5	mund	liehr	9	9	6
5	2	liehr	userguide	9	6	2
2	19	userguide	saliha2	6	9	2
19	17	saliha2	ayenew2	9	9	4
17	20	ayenew2	abebe	9	9	2
20	18	abebe	bogardi	9	9	2
18	1	bogardi	borchardt2	9	0	2
1	18	borchardt2	bogardi	0	9	3
18	2	bogardi	userguide	9	6	2
2	4	userguide	lennartz	6	7	12
3	21	balke1	balke2	7	7	5
21	22	balke2	ayenew1	7	7	5
22	16	ayenew1	schanze	7	9	1
16	20	schanze	abebe	9	9	1
20	2	abebe	userguide	9	6	1
2	23	userguide	cullmann	6	7	4
23	24	cullmann	bernhofer	7	7	5
24	8	bernhofer	berendonk	7	7	2
8	25	berendonk	saliha1	7	7	2
25	20	saliha1	abebe	7	9	2
20	16	abebe	schanze	9	9	1
16	26	schanze	huppert1	9	1	3
26	27	huppert1	huppert2	1	1	11
27	1	huppert2	borchardt2	1	0	3
1	2	borchardt2	userguide	0	6	38
2	9	userguide	krebs	6	8	1
10	28	mueller	ostrowski	8	8	4
28	11	ostrowski	petersen2	8	8	3
11	26	petersen2	huppert1	8	1	2
27	29	huppert2	huppert3	1	1	6
29	30	huppert3	huppert4	1	1	7
30	31	huppert4	albrecht	1	1	4
31	15	albrecht	moss	1	1	5
15	32	moss	newig	1	1	4
32	33	newig	graefe	1	1	2
33	34	graefe	niemann	1	1	2
34	12	niemann	lehmann	1	3	1
12	35	lehmann	dombrowsky	3	3	4
35	36	dombrowsky	tsegai	3	3	5
36	6	tsegai	magiera	3	5	1
6	37	magiera	borchardt1	5	5	5
37	38	borchardt1	demydenko	5	5	5
38	7	demydenko	scheumann	5	5	6
7	39	scheumann	seidel1	5	5	4
39	40	seidel1	seidel2	5	5	7
40	41	seidel2	bhaduri	5	5	3
41	22	bhaduri	ayenew1	5	7	1
22	14	ayenew1	jabir	7	7	5
14	25	jabir	saliha1	7	7	2
25	42	saliha1	awulachew	7	7	4
42	43	awulachew	petersen1	7	7	2
43	1	petersen1	borchardt2	7	0	5
14	23	jabir	cullmann	7	7	2
24	9	bernhofer	krebs	7	8	2
10	8	mueller	berendonk	8	7	1
43	28	petersen1	ostrowski	7	8	2
27	9	huppert2	krebs	1	8	1
9	29	krebs	huppert3	8	1	2
36	13	tsegai	mund	3	9	3
5	17	liehr	ayenew2	9	9	2
17	19	ayenew2	saliha2	9	9	9
19	20	saliha2	abebe	9	9	3
18	16	bogardi	schanze	9	9	5
16	39	schanze	seidel1	9	5	2
39	6	seidel1	magiera	5	5	1
41	9	bhaduri	krebs	5	8	1
9	11	krebs	petersen2	8	8	3
4	43	lennartz	petersen1	7	7	5
1	24	borchardt2	bernhofer	0	7	9
24	1	bernhofer	borchardt2	7	0	2
1	4	borchardt2	lennartz	0	7	20
4	9	lennartz	krebs	7	8	6
9	1	krebs	borchardt2	8	0	9
1	9	borchardt2	krebs	0	8	12
14	21	jabir	balke2	7	7	2
22	24	ayenew1	bernhofer	7	7	2
34	31	niemann	albrecht	1	1	3
31	24	albrecht	bernhofer	1	7	1
2	1	userguide	borchardt2	6	0	31
1	17	borchardt2	ayenew2	0	9	2
17	7	ayenew2	scheumann	9	5	1
5	4	liehr	lennartz	9	7	3
4	1	lennartz	borchardt2	7	0	16
4	2	lennartz	userguide	7	6	3
4	24	lennartz	bernhofer	7	7	6
24	4	bernhofer	lennartz	7	7	7
23	42	cullmann	awulachew	7	7	3
42	5	awulachew	liehr	7	9	2
9	22	krebs	ayenew1	8	7	1
22	4	ayenew1	lennartz	7	7	1
9	16	krebs	schanze	8	9	1
16	34	schanze	niemann	9	1	3
34	24	niemann	bernhofer	1	7	3
1	36	borchardt2	tsegai	0	3	2
34	2	niemann	userguide	1	6	2
26	30	huppert1	huppert4	1	1	3
30	1	huppert4	borchardt2	1	0	1
13	1	mund	borchardt2	9	0	9
4	13	lennartz	mund	7	9	1
13	9	mund	krebs	9	8	1
9	13	krebs	mund	8	9	1
1	23	borchardt2	cullmann	0	7	2
23	1	cullmann	borchardt2	7	0	4
1	5	borchardt2	liehr	0	9	5
5	16	liehr	schanze	9	9	4
16	23	schanze	cullmann	9	7	2
23	25	cullmann	saliha1	7	7	2
15	24	moss	bernhofer	1	7	1
24	16	bernhofer	schanze	7	9	4
16	11	schanze	petersen2	9	8	1
11	13	petersen2	mund	8	9	1
20	11	abebe	petersen2	9	8	1
4	8	lennartz	berendonk	7	7	2
8	1	berendonk	borchardt2	7	0	1
1	37	borchardt2	borchardt1	0	5	7
37	1	borchardt1	borchardt2	5	0	6
9	19	krebs	saliha2	8	9	1
26	17	huppert1	ayenew2	1	9	1
1	41	borchardt2	bhaduri	0	5	1
41	34	bhaduri	niemann	5	1	1
16	9	schanze	krebs	9	8	1
34	9	niemann	krebs	1	8	1
9	34	krebs	niemann	8	1	2
34	3	niemann	balke1	1	7	1
1	16	borchardt2	schanze	0	9	4
16	24	schanze	bernhofer	9	7	1
9	37	krebs	borchardt1	8	5	5
2	13	userguide	mund	6	9	2
12	36	lehmann	tsegai	3	3	3
36	4	tsegai	lennartz	3	7	1
1	34	borchardt2	niemann	0	1	7
34	1	niemann	borchardt2	1	0	5
