name	group	totalEffort	effortPerMinute	video	videoLength
1	0	1	12	5	0
3	0	1	86	5	0
5	0	1	23	5	0
9	0	1	548	5	0
10	0	1	6	5	0
13	0	1	4	5	0
16	0	1	3	5	0
17	0	1	9	5	0
18	0	1	1	5	0
19	0	1	118	5	0
22	0	1	7	5	0
23	0	1	10	5	0
24	0	1	9	5	0
28	0	1	21	5	0
33	0	2	195	5	0
34	0	2	37	5	0
37	0	1	345	5	0
43	0	1	356	5	0
44	0	2	551	5	0
48	0	1	9	5	0
51	0	2	4	5	0
52	0	2	2	5	0
56	0	2	102	5	0
57	0	1	33	5	0
60	0	2	45	5	0
61	0	2	203	5	0
68	0	2	98	5	0
70	0	2	6	5	0
71	0	1	27	5	0
undefined	0	2	undefined	5	0
undefined	0	2	undefined	5	0
undefined	0	2	undefined	5	0
undefined	0	2	undefined	5	0
