name	group	totalEffort	effortPerMinute	video	videoLength
33	21	68.06	1.15	5	59
34	21	238.21	4.04	5	59
35	21	195.76	3.32	5	59
37	25	481.36	8.02	102	60
38	25	48.12	0.80	102	60
43	17	187.20	3.23	7	58
44	19	115.11	2.74	4	42
45	19	256.57	6.11	4	42
46	23	163.28	2.51	1	65
48	23	176.95	2.72	1	65
51	k1	4.15	0.06	201	65
52	k1	8.66	0.13	201	65
54	28	11.72	0.20	107	58
56	k1	216.59	3.33	201	65
57	k1	328.56	5.05	201	65
60	k1	199.52	3.07	201	65
61	k1	437.89	6.74	201	65
67	k2	27.84	0.43	301	65
68	k2	1071.78	16.49	301	65
69	k2	204.89	3.15	301	65
70	k2	170.76	2.63	301	65
