score	row	col	user
1166	1	1	xxx
1172	1	2	xxx
1125	1	3	xxx
1108	1	4	xxx
1109	1	5	xxx
1104	1	6	xxx
1109	1	7	xxx
1098	1	8	xxx
1095	1	9	xxx
1094	1	10	xxx
1098	1	11	xxx
1098	1	12	xxx
1097	1	13	xxx
1093	1	14	xxx
1099	1	15	xxx
1098	1	16	xxx
1094	1	17	xxx
1094	1	18	xxx
1096	1	19	xxx
1103	1	20	xxx
1097	1	21	xxx
1098	1	22	xxx
1094	1	23	xxx
1096	1	24	xxx
1122	1	25	xxx
1093	1	26	xxx
1091	1	27	xxx
1095	1	28	xxx
1092	1	29	xxx
1096	1	30	xxx
1091	1	31	xxx
1094	1	32	xxx
1091	1	33	xxx
1091	1	34	xxx
1093	1	35	xxx
1094	1	36	xxx
1090	1	37	xxx
1090	1	38	xxx
1091	1	39	xxx
1089	1	40	xxx
1091	1	41	xxx
1093	1	42	xxx
1093	1	43	xxx
1091	1	44	xxx
1091	1	45	xxx
1091	1	46	xxx
1093	1	47	xxx
1090	1	48	xxx
1090	1	49	xxx
1092	1	50	xxx
1088	1	51	xxx
1092	1	52	xxx
1091	1	53	xxx
1092	1	54	xxx
1089	1	55	xxx
1094	1	56	xxx
1088	1	57	xxx
1088	1	58	xxx
1089	1	59	xxx
1093	1	60	xxx
1090	1	61	xxx
1091	1	62	xxx
1090	1	63	xxx
1095	1	64	xxx
1090	1	65	xxx
1088	1	66	xxx
1088	1	67	xxx
1089	1	68	xxx
1087	1	69	xxx
1088	1	70	xxx
1086	1	71	xxx
1090	1	72	xxx
1086	1	73	xxx
1088	1	74	xxx
1086	1	75	xxx
1088	1	76	xxx
1088	1	77	xxx
1086	1	78	xxx
1085	1	79	xxx
1091	1	80	xxx
1087	1	81	xxx
1087	1	82	xxx
1085	1	83	xxx
1086	1	84	xxx
1087	1	85	xxx
1085	1	86	xxx
1088	1	87	xxx
1082	1	88	xxx
1082	1	89	xxx
1082	1	90	xxx
1082	1	91	xxx
1082	1	92	xxx
1082	1	93	xxx
1082	1	94	xxx
1083	1	95	xxx
1085	1	96	xxx
1082	1	97	xxx
1083	1	98	xxx
1083	1	99	xxx
1085	1	100	xxx
1081	1	101	xxx
1081	1	102	xxx
1081	1	103	xxx
