id,author,institution,title,category,abstract,length,filename,source
1,Prof. Dr. Peter Greistorfer,Universität Graz,Capacity Planning,Z,,65:51:00,scm_capacity_planing,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-09-capacityplanning/STREAM
2,Prof. Dr. Peter Greistorfer,Universität Graz,Layout Decisions Teil 2,N,,60:15:00,scm_layout_decisions2,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-12-layoutdecisions02/STREAM
3,Prof. Dr. Peter Greistorfer,Universität Graz,Layout Decisions Teil 1,N,,61:13:00,scm_layout_decisions1,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-12-layoutdecisions01/STREAM
4,Prof. Dr. Peter Greistorfer,Universität Graz,Location Decision,Z,,42:52:00,scm_location_decision,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-10-locationdecisions/STREAM
5,Moritz Roidl,TU Dortmund,Warehouse Managment Systeme ,Z,,59:37:00,scm_warehousemanagement,http://www.youtube.com/watch?v=XpEHJEkQ490&list=PLFY8NM79glQtudN84-t6U97ZkX2oBGYp4
6,Prof. Dr. Lee Hale,Georgia Tech,Warehouse/Distribution Center Layout,N,,50:11:00,scm_dist_layout,www.youtube.com/watch?v=UaKgiexU1Qk‎
7,Prof. G. Srinivasan,IIT Madras,Chinese Postman Problem,Z,,58:22:00,scm_chinese_postman_problem,
8,Prof. Arun Kanda,IIT Delhi,Issues in Location of Facilities,N,,57:51:00,scm_location_facilities,
9,Prof. Arun Kanda,IIT Delhi,Layout Planing,N,,52:50:00,scm_layout_planing,
10,Prof. Arun Kanda,IIT Delhi,Product Layouts and Assambly Line Balancing,N,,60:00:00,scm_product_layouts,
11,Prof. Arun Kanda,IIT Delhi,Mathematical Models for Facility Location,N,,60:00:00,scm_facility_location,
12,Colin Hegarty,,Traveling Salesperson Problem,Z,,40:28:00,scm_traveling_salesman_problem,
102,Prof. Dr. Peter Greistorfer,Universität Graz,Layout Decisions Teil 2,N,,60:15:00,scm_layout_decisions2,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-12-layoutdecisions02/STREAM
107,Prof. G. Srinivasan,IIT Madras,Chinese Postman Problem,Z,,58:22:00,scm_chinese_postman_problem,
110,Prof. Arun Kanda,IIT Delhi,Product Layouts and Assambly Line Balancing,N,,60:00:00,scm_product_layouts,
104,Prof. Dr. Peter Greistorfer,Universität Graz,Location Decision,Z,,42:52:00,scm_location_decision,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-10-locationdecisions/STREAM
201,Prof. Dr. Peter Greistorfer,Universität Graz,Capacity Planning,Z,,65:51:00,scm_capacity_planing,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-09-capacityplanning/STREAM
202,Prof. Dr. Peter Greistorfer,Universität Graz,Layout Decisions Teil 2,N,,60:15:00,scm_layout_decisions2,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-12-layoutdecisions02/STREAM
203,Prof. Dr. Peter Greistorfer,Universität Graz,Layout Decisions Teil 1,N,,61:13:00,scm_layout_decisions1,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-12-layoutdecisions01/STREAM
204,Prof. Dr. Peter Greistorfer,Universität Graz,Location Decision,Z,,42:52:00,scm_location_decision,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-10-locationdecisions/STREAM
205,Moritz Roidl,TU Dortmund,Warehouse Managment Systeme ,Z,,59:37:00,scm_warehousemanagement,http://www.youtube.com/watch?v=XpEHJEkQ490&list=PLFY8NM79glQtudN84-t6U97ZkX2oBGYp4
206,Prof. Dr. Lee Hale,Georgia Tech,Warehouse/Distribution Center Layout,N,,50:11:00,scm_dist_layout,www.youtube.com/watch?v=UaKgiexU1Qk‎
207,Prof. G. Srinivasan,IIT Madras,Chinese Postman Problem,Z,,58:22:00,scm_chinese_postman_problem,
208,Prof. Arun Kanda,IIT Delhi,Issues in Location of Facilities,N,,57:51:00,scm_location_facilities,
209,Prof. Arun Kanda,IIT Delhi,Layout Planing,N,,52:50:00,scm_layout_planing,
210,Prof. Arun Kanda,IIT Delhi,Product Layouts and Assambly Line Balancing,N,,60:00:00,scm_product_layouts,
211,Prof. Arun Kanda,IIT Delhi,Mathematical Models for Facility Location,N,,60:00:00,scm_facility_location,
212,Colin Hegarty,,Traveling Salesperson Problem,Z,,40:28:00,scm_traveling_salesman_problem,
301,Prof. Dr. Peter Greistorfer,Universität Graz,Capacity Planning,Z,,65:51:00,scm_capacity_planing,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-09-capacityplanning/STREAM
302,Prof. Dr. Peter Greistorfer,Universität Graz,Layout Decisions Teil 2,N,,60:15:00,scm_layout_decisions2,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-12-layoutdecisions02/STREAM
303,Prof. Dr. Peter Greistorfer,Universität Graz,Layout Decisions Teil 1,N,,61:13:00,scm_layout_decisions1,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-12-layoutdecisions01/STREAM
304,Prof. Dr. Peter Greistorfer,Universität Graz,Location Decision,Z,,42:52:00,scm_location_decision,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-10-locationdecisions/STREAM
305,Moritz Roidl,TU Dortmund,Warehouse Managment Systeme ,Z,,59:37:00,scm_warehousemanagement,http://www.youtube.com/watch?v=XpEHJEkQ490&list=PLFY8NM79glQtudN84-t6U97ZkX2oBGYp4
306,Prof. Dr. Lee Hale,Georgia Tech,Warehouse/Distribution Center Layout,N,,50:11:00,scm_dist_layout,www.youtube.com/watch?v=UaKgiexU1Qk‎
307,Prof. G. Srinivasan,IIT Madras,Chinese Postman Problem,Z,,58:22:00,scm_chinese_postman_problem,
308,Prof. Arun Kanda,IIT Delhi,Issues in Location of Facilities,N,,57:51:00,scm_location_facilities,
309,Prof. Arun Kanda,IIT Delhi,Layout Planing,N,,52:50:00,scm_layout_planing,
310,Prof. Arun Kanda,IIT Delhi,Product Layouts and Assambly Line Balancing,N,,60:00:00,scm_product_layouts,
311,Prof. Arun Kanda,IIT Delhi,Mathematical Models for Facility Location,N,,60:00:00,scm_facility_location,
312,Colin Hegarty,,Traveling Salesperson Problem,Z,,40:28:00,scm_traveling_salesman_problem,
401,Prof. Dr. Peter Greistorfer,Universität Graz,Capacity Planning,Z,,65:51:00,scm_capacity_planing,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-09-capacityplanning/STREAM
402,Prof. Dr. Peter Greistorfer,Universität Graz,Layout Decisions Teil 2,N,,60:15:00,scm_layout_decisions2,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-12-layoutdecisions02/STREAM
403,Prof. Dr. Peter Greistorfer,Universität Graz,Layout Decisions Teil 1,N,,61:13:00,scm_layout_decisions1,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-12-layoutdecisions01/STREAM
404,Prof. Dr. Peter Greistorfer,Universität Graz,Location Decision,Z,,42:52:00,scm_location_decision,http://gams.uni-graz.at/fedora/get/o:pug-lv-11s-prodlog-10-locationdecisions/STREAM
405,Moritz Roidl,TU Dortmund,Warehouse Managment Systeme ,Z,,59:37:00,scm_warehousemanagement,http://www.youtube.com/watch?v=XpEHJEkQ490&list=PLFY8NM79glQtudN84-t6U97ZkX2oBGYp4
406,Prof. Dr. Lee Hale,Georgia Tech,Warehouse/Distribution Center Layout,N,,50:11:00,scm_dist_layout,www.youtube.com/watch?v=UaKgiexU1Qk‎
407,Prof. G. Srinivasan,IIT Madras,Chinese Postman Problem,Z,,58:22:00,scm_chinese_postman_problem,
408,Prof. Arun Kanda,IIT Delhi,Issues in Location of Facilities,N,,57:51:00,scm_location_facilities,
409,Prof. Arun Kanda,IIT Delhi,Layout Planing,N,,52:50:00,scm_layout_planing,
410,Prof. Arun Kanda,IIT Delhi,Product Layouts and Assambly Line Balancing,N,,60:00:00,scm_product_layouts,
